fra,strate2,jour,PourAvec,tx_indic_7J_DC,tx_indic_7J_hosp,tx_indic_7J_SC,tx_prev_hosp,tx_prev_SC
FR,0,2020-04-20,0,3.90374759023673,13.7569853055938,1.9384639751519,457617556255498,8.21276973945986
FR,0,2020-04-20,1,NA,0,0,0,0
FR,0,2020-04-20,2,NA,0,0,0,0
FR,0,2020-04-21,0,3.71750009070253,13.1386436071403,1.78350605553945,445965912684639,7.77620560055171
FR,0,2020-04-21,1,NA,0,0,0,0
FR,0,2020-04-21,2,NA,0,0,0,0
FR,0,2020-04-22,0,3.5223127111907,12.2580654293426,1.70006717574813,436072445509383,7.45734988134917
FR,0,2020-04-22,1,NA,0,0,0,0
FR,0,2020-04-22,2,NA,0,0,0,0
FR,0,2020-04-23,0,3.38076461154471,11.3685473715673,1.53914933615059,4276689583304,7.16084386209073
FR,0,2020-04-23,1,NA,0,0,0,0
FR,0,2020-04-23,2,NA,0,0,0,0
FR,0,2020-04-24,0,3.16471751208504,10.4015503539857,1.46912027632573,418267184553914,6.8524180028621
FR,0,2020-04-24,1,NA,0,0,0,0
FR,0,2020-04-24,2,NA,0,0,0,0
FR,0,2020-04-25,0,2.99932973249868,9.83535795540177,1.34396195663875,401802905595091,6.51717250370055
FR,0,2020-04-25,1,NA,0,0,0,0
FR,0,2020-04-25,2,NA,0,0,0,0
FR,0,2020-04-26,0,2.85927161284896,9.44796315637064,1.28883269677663,399091142001873,6.42926368392041
FR,0,2020-04-26,1,NA,0,0,0,0
FR,0,2020-04-26,2,NA,0,0,0,0
FR,0,2020-04-27,0,2.74156319314335,8.88326073778297,1.1890040370263,405214959786557,6.43075366391669
FR,0,2020-04-27,1,NA,0,0,0,0
FR,0,2020-04-27,2,NA,0,0,0,0
FR,0,2020-04-28,0,2.6149148934601,8.1993599194934,1.11748499720517,391060149821959,6.01355926496009
FR,0,2020-04-28,1,NA,0,0,0,0
FR,0,2020-04-28,2,NA,0,0,0,0
FR,0,2020-04-29,0,2.45846699385137,7.71064648071567,1.02957617742503,378618816853074,5.7200332056942
FR,0,2020-04-29,1,NA,0,0,0,0
FR,0,2020-04-29,2,NA,0,0,0,0
FR,0,2020-04-30,0,2.33777861415322,7.25024266186714,0.98785673752937,369082944876924,5.48014642629415
FR,0,2020-04-30,1,NA,0,0,0,0
FR,0,2020-04-30,2,NA,0,0,0,0
FR,0,2020-05-01,0,2.15004113462275,6.47098312381607,0.891008037771589,351024387322088,5.17172056706553
FR,0,2020-05-01,1,NA,0,0,0,0
FR,0,2020-05-01,2,NA,0,0,0,0
FR,0,2020-05-02,0,2.0174329149544,6.24599614437876,0.865678377834938,350294297123914,5.0942416072593
FR,0,2020-05-02,1,NA,0,0,0,0
FR,0,2020-05-02,2,NA,0,0,0,0
FR,0,2020-05-03,0,1.92952409517426,6.0299490449191,0.823958937939279,348819216927603,5.02570252743072
FR,0,2020-05-03,1,NA,0,0,0,0
FR,0,2020-05-03,2,NA,0,0,0,0
FR,0,2020-05-04,0,1.83118541542021,5.56507528608175,0.768829678077157,352186571719181,4.98249310753878
FR,0,2020-05-04,1,NA,0,0,0,0
FR,0,2020-05-04,2,NA,0,0,0,0
FR,0,2020-05-05,0,1.72241687569224,5.2804891067935,0.770319658073431,338866150552496,4.72174660819091
FR,0,2020-05-05,1,NA,0,0,0,0
FR,0,2020-05-05,2,NA,0,0,0,0
FR,0,2020-05-06,0,1.68218741579285,4.97206324756487,0.721150318196403,326842011982568,4.38799108902563
FR,0,2020-05-06,1,NA,0,0,0,0
FR,0,2020-05-06,2,NA,0,0,0,0
FR,0,2020-05-07,0,1.54510925613568,4.62489790843313,0.674960938311923,314966871412268,4.1421443896405
FR,0,2020-05-07,1,NA,0,0,0,0
FR,0,2020-05-07,2,NA,0,0,0,0
FR,0,2020-05-08,0,1.52871947617667,4.38203116904054,0.65708117835664,298949586452327,3.90225761024045
FR,0,2020-05-08,1,NA,0,0,0,0
FR,0,2020-05-08,2,NA,0,0,0,0
FR,0,2020-05-09,0,1.48551005628474,4.22558326943182,0.640691398397631,297593704655718,3.84712835037833
FR,0,2020-05-09,1,NA,0,0,0,0
FR,0,2020-05-09,2,NA,0,0,0,0
FR,0,2020-05-10,0,1.40654111648224,4.14661432962932,0.631751518419989,296923213657395,3.8039189304864
FR,0,2020-05-10,1,NA,0,0,0,0
FR,0,2020-05-10,2,NA,0,0,0,0
FR,0,2020-05-11,0,1.29330263676545,3.92609729018083,0.601951918494518,299202883051694,3.77709929055347
FR,0,2020-05-11,1,NA,0,0,0,0
FR,0,2020-05-11,2,NA,0,0,0,0
FR,0,2020-05-12,0,1.2456232768847,3.64747103087768,0.552782578617491,288519726478412,3.50741291122796
FR,0,2020-05-12,1,NA,0,0,0,0
FR,0,2020-05-12,2,NA,0,0,0,0
FR,0,2020-05-13,0,1.1666543370822,3.44930369137329,0.521492998695746,277553473705839,3.29732573175339
FR,0,2020-05-13,1,NA,0,0,0,0
FR,0,2020-05-13,2,NA,0,0,0,0
FR,0,2020-05-14,0,1.11450503721262,3.24070649189499,0.496163338759095,268107000529464,3.11256821221547
FR,0,2020-05-14,1,NA,0,0,0,0
FR,0,2020-05-14,2,NA,0,0,0,0
FR,0,2020-05-15,0,1.05341585736541,3.32265539169004,0.487223458781454,258645627553127,2.97698003255457
FR,0,2020-05-15,1,NA,0,0,0,0
FR,0,2020-05-15,2,NA,0,0,0,0
FR,0,2020-05-16,0,1.0087164574772,3.18110729204405,0.451463938870889,247038683382156,2.79371249301292
FR,0,2020-05-16,1,NA,0,0,0,0
FR,0,2020-05-16,2,NA,0,0,0,0
FR,0,2020-05-17,0,0.996796617507012,3.08127863229372,0.411234478971503,245504003985995,2.7445431531359
FR,0,2020-05-17,1,NA,0,0,0,0
FR,0,2020-05-17,2,NA,0,0,0,0
FR,0,2020-05-18,0,0.978916857551729,2.98293995253967,0.421664338945417,247470777581076,2.77732271305392
FR,0,2020-05-18,1,NA,0,0,0,0
FR,0,2020-05-18,2,NA,0,0,0,0
FR,0,2020-05-19,0,0.965507037585267,2.80861229297566,0.390374759023673,237532611005931,2.57319545356444
FR,0,2020-05-19,1,NA,0,0,0,0
FR,0,2020-05-19,2,NA,0,0,0,0
FR,0,2020-05-20,0,0.929747517674701,2.66706419332967,0.371005019072116,227579544630824,2.43015737392218
FR,0,2020-05-20,1,NA,0,0,0,0
FR,0,2020-05-20,2,NA,0,0,0,0
FR,0,2020-05-21,0,0.932727477667249,2.42419745393708,0.323325659191363,215272309861604,2.26923953432463
FR,0,2020-05-21,1,NA,0,0,0,0
FR,0,2020-05-21,2,NA,0,0,0,0
FR,0,2020-05-22,0,0.885048117786495,2.33032871417185,0.317365739206268,216136498259443,2.25731969435444
FR,0,2020-05-22,1,NA,0,0,0,0
FR,0,2020-05-22,2,NA,0,0,0,0
FR,0,2020-05-23,0,0.847798617879656,2.25582971435817,0.315875759209995,20914849207692,2.16494093458548
FR,0,2020-05-23,1,NA,0,0,0,0
FR,0,2020-05-23,2,NA,0,0,0,0
FR,0,2020-05-24,0,0.768829678077157,2.15898101460039,0.317365739206268,208284303679081,2.12769143467864
FR,0,2020-05-24,1,NA,0,0,0,0
FR,0,2020-05-24,2,NA,0,0,0,0
FR,0,2020-05-25,0,0.74498999813678,2.01147299496931,0.290546099273344,2094762876761,2.13365135466374
FR,0,2020-05-25,1,NA,0,0,0,0
FR,0,2020-05-25,2,NA,0,0,0,0
FR,0,2020-05-26,0,0.688370758278385,1.89227459526742,0.292036079269618,200566207298384,2.04425255488732
FR,0,2020-05-26,1,NA,0,0,0,0
FR,0,2020-05-26,2,NA,0,0,0,0
FR,0,2020-05-27,0,0.658571158352914,1.79989583549846,0.281606219295703,192326617918991,1.93250405516681
FR,0,2020-05-27,1,NA,0,0,0,0
FR,0,2020-05-27,2,NA,0,0,0,0
FR,0,2020-05-28,0,0.630261538423716,1.77903611555063,0.289056119277071,184683020538108,1.82224553544256
FR,0,2020-05-28,1,NA,0,0,0,0
FR,0,2020-05-28,2,NA,0,0,0,0
FR,0,2020-05-29,0,0.621321658446075,1.62705815593073,0.259256519351599,177099022357075,1.70602709573323
FR,0,2020-05-29,1,NA,0,0,0,0
FR,0,2020-05-29,2,NA,0,0,0,0
FR,0,2020-05-30,0,0.594502018513151,1.55106917612078,0.236906819407496,169202128376825,1.62258821594191
FR,0,2020-05-30,1,NA,0,0,0,0
FR,0,2020-05-30,2,NA,0,0,0,0
FR,0,2020-05-31,0,0.603441898490792,1.50040985624748,0.224986979437308,167905845780067,1.59129863602016
FR,0,2020-05-31,1,NA,0,0,0,0
FR,0,2020-05-31,2,NA,0,0,0,0
FR,0,2020-06-01,0,0.563212438591406,1.39313129651578,0.192207419519289,167712148380552,1.56447899608724
FR,0,2020-06-01,1,NA,0,0,0,0
FR,0,2020-06-01,2,NA,0,0,0,0
FR,0,2020-06-02,0,0.561722458595132,1.31714231670583,0.163897799590092,167280054181633,1.55106917612078
FR,0,2020-06-02,1,NA,0,0,0,0
FR,0,2020-06-02,2,NA,0,0,0,0
FR,0,2020-06-03,0,0.533412838665934,1.25903309685116,0.153467939616177,159189462801867,1.45869041635182
FR,0,2020-06-03,1,NA,0,0,0,0
FR,0,2020-06-03,2,NA,0,0,0,0
FR,0,2020-06-04,0,0.496163338759095,1.21433369696295,0.144528059638535,152633550818263,1.36631165658285
FR,0,2020-06-04,1,NA,0,0,0,0
FR,0,2020-06-04,2,NA,0,0,0,0
FR,0,2020-06-05,0,0.470833678822445,1.16963429707474,0.15048797962363,14656933223343,1.28287277679154
FR,0,2020-06-05,1,NA,0,0,0,0
FR,0,2020-06-05,2,NA,0,0,0,0
FR,0,2020-06-06,0,0.451463938870889,1.14728459713064,0.15048797962363,139298229851615,1.21433369696295
FR,0,2020-06-06,1,NA,0,0,0,0
FR,0,2020-06-06,2,NA,0,0,0,0
FR,0,2020-06-07,0,0.420174358949144,1.10854511722753,0.147508019631082,138270143654186,1.19347397701512
FR,0,2020-06-07,1,NA,0,0,0,0
FR,0,2020-06-07,2,NA,0,0,0,0
FR,0,2020-06-08,0,0.399314639001314,1.09960523724989,0.151977959619903,138881035452659,1.19645393700767
FR,0,2020-06-08,1,NA,0,0,0,0
FR,0,2020-06-08,2,NA,0,0,0,0
FR,0,2020-06-09,0,0.365045099087022,1.04596595738404,0.147508019631082,134276997264173,1.12642487718281
FR,0,2020-06-09,1,NA,0,0,0,0
FR,0,2020-06-09,2,NA,0,0,0,0
FR,0,2020-06-10,0,0.329285579176457,1.01467637746229,0.157937879604997,13011995307457,1.09513529726107
FR,0,2020-06-10,1,NA,0,0,0,0
FR,0,2020-06-10,2,NA,0,0,0,0
FR,0,2020-06-11,0,0.314385779213721,0.975936897559182,0.159427859601271,126499301683625,1.04745593738031
FR,0,2020-06-11,1,NA,0,0,0,0
FR,0,2020-06-11,2,NA,0,0,0,0
FR,0,2020-06-12,0,0.302465939243533,0.935707437659796,0.148997999627356,122357157293985,1.00275653749211
FR,0,2020-06-12,1,NA,0,0,0,0
FR,0,2020-06-12,2,NA,0,0,0,0
FR,0,2020-06-13,0,0.281606219295703,0.889518057775315,0.144528059638535,118691806503152,0.966997017581541
FR,0,2020-06-13,1,NA,0,0,0,0
FR,0,2020-06-13,2,NA,0,0,0,0
FR,0,2020-06-14,0,0.281606219295703,0.916337697708239,0.143038079642262,118319311504083,0.956567157607625
FR,0,2020-06-14,1,NA,0,0,0,0
FR,0,2020-06-14,2,NA,0,0,0,0
FR,0,2020-06-15,0,0.271176359321788,0.89994791774923,0.147508019631082,118915303502593,0.96252707759272
FR,0,2020-06-15,1,NA,0,0,0,0
FR,0,2020-06-15,2,NA,0,0,0,0
FR,0,2020-06-16,0,0.247336679381411,0.916337697708239,0.156447899608724,115294652111648,0.925277577685881
FR,0,2020-06-16,1,NA,0,0,0,0
FR,0,2020-06-16,2,NA,0,0,0,0
